dba_name,address,data_closed,data_opened,reason
Power Up Smoothies,2140 E Carson,5/7/2018,5/8/2018,Vermin (Cockroaches)
Tavern on 2,5110 E 2nd St,5/11/2018,5/19/2018,"Vermin (Rodents), Lack of adequate refrigeration"
Natraj Cuisine of India,5262 E 2nd St,5/15/2018,5/22/2018,Vermin (Cockroaches)
Donuts Queen,6594 Long Beach Blvd,5/18/2018,5/23/2018,Vermin (Rodents)
Denny's,601 Long Beach Blvd,6/13/2018,6/13/2018,No hot water
Barbie's Bar,1008 E Artesia Blvd,6/13/2018,6/14/2018,"Vermin (Cockroaches), No hot water"
Church's Chicken,2553 Long Beach Blvd,6/26/2018,6/27/2018,Vermin (Cockroaches)
Family Fish Market,1705 E Artesia Blvd,6/26/2018,7/12/2018,Vermin (Cockroaches)
Spoonn Bistro,649 Long Beach Blvd,7/13/2018,7/16/2018,Vermin (Rodents)
Shannon's,219 Pine Ave,7/20/2018,7/22/2018,Vermin (Cockroaches)
El Pollo Imperial,5991 Atlantic Ave,9/5/2018,9/6/2018,Vermin (Cockroaches)
Los Potros Restaurant,1901 E Pacific Coast Hwy,9/28/2018,10/3/2018,Vermin (Cockroaches)
Hokkaido Seafood Buffet,3030 Cherry Ave,10/2/2018,10/5/2018,Vermin (Cockroaches) (Rodents)
Magic Lamp,5020 E 2nd St,10/17/2018,10/20/2018,Vermin (Cockroaches)
Christian Outreach Appeal,515 E 3rd St,10/17/2018,11/6/2018,Vermin (Cockroaches)
The Sails,6285 Pacific Coast Hwy,11/1/2018,11/2/2018,Vermin (Cockroaches) (Rodents)
Bionicos El Chavo,6183 Atlantic Ave,11/1/2018,11/12/2018,Vermin (Cockroaches)
Hashtag Burgers,3387 Atlantic Ave,11/7/2018,11/9/2018,Lack of warewashing facilities
Papa John's Pizza,1957 E 4th St,11/26/2018,11/27/2018,No hot water
Magic Lamp,5020 E 2nd St,12/5/2018,12/5/2018,No health permit
Weiland Brewery Restaurant,4354 Atlantic Ave,12/6/2018,12/7/2018,No hot water
Doly's Delectables,245 E Broadway,12/12/2018,12/17/2018,No hot water
Thai Charcoal Pit,2226 E 7th St,12/20/2018,12/26/2018,"Vermin (Cockroaches) (Rodents), Lack of adequate refrigeration"
Top Valu,421 Pacific Ave,11/6/2019,11/6/2019,Sewage
Yoshinoya,590 E. Willow St,11/4/2019,11/4/2019,Sewage
Brooklyn Deli,4280 Atlantic Ave,10/2/2019,10/9/2019,Vermin
Tambuli Market,2520 Santa Fe Ave,9/16/2019,9/19/2019,Vermin
Island Poly,4915 Long Beach Blvd,8/14/2019,8/19/2019,Vermin
Alfredo's ,5411 E Ocean Blvd,8/13/2019,8/17/2019,Vermin
Lowe's,2840 Bellflower Blvd,7/11/2019,7/11/2019,No restrooms
Philhouse,3300 Atlantic Ave,7/2/2019,7/3/2019,Vermin
Fortune Bread,3300 Atlantic Ave,7/2/2019,7/3/2019,Vermin
Komo Cocina,5730 E 2nd St,6/27/2019,6/28/2019,Vermin
7th Teriyaki,5718 E 7th St,4/25/2019,4/25/2019,Sewage
Rally's Hamburger,3490 E Artesia,4/1/2019,4/1/2019,Nowater Notoilets
Roe Seafood,5374 E 2nd St,3/27/2019,3/28/2019,Vermin
Daisy Avenue Market,501 Daisy Ave,3/20/2019,3/21/2019,Vermin
Porky's Pizza,4418 E 7th,3/5/2019,3/6/2019,No hot water
